text,created_at,thread_id_fallback,rules_text,model_text,_ts,_dow,_hour,_is_after_5,_is_fri_after_3,_is_weekend,_is_after_hours,DeliveryAfterHours,StatusChangeAfterHours,ReadyForReviewAfterHours,FridayEarlyCutoffDelivery,WeekendDelivery,ApologyRush,ReworkPhrase,ResubmissionPhrase,MissedRequirementPhrase,NotRightFirstTime
someone pushed something stupid and now we're all paying for it,2025-10-29T03:16:36.908741Z,NA,someone pushed something stupid and now we re all paying for it,someon push someth stupid and now we re all pay for it,2025-10-28 23:16:36.908741-04:00,1,23,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-12-06T15:25:09.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-12-06 10:25:09.908741-05:00,5,10,False,False,True,True,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-10-31T05:47:33.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-10-31 01:47:33.908741-04:00,4,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-06T09:05:47.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-06 04:05:47.908741-05:00,3,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
this YAML parser hates me personally,2025-11-11T22:22:00.908741Z,NA,this yaml parser hates me personally,thi yaml parser hate me person,2025-11-11 17:22:00.908741-05:00,1,17,True,False,False,True,0,0,0,0,0,0,0,0,0,0
I'm done pretending this cluster behaves normally,2025-11-09T07:26:09.908741Z,NA,i m done pretending this cluster behaves normally,i m done pretend thi cluster behav normal,2025-11-09 02:26:09.908741-05:00,6,2,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Prometheus scrape interval went weird after the update.,2025-11-16T03:05:52.908741Z,NA,prometheus scrape interval went weird after the update,prometheu scrape interv went weird after the updat,2025-11-15 22:05:52.908741-05:00,5,22,True,False,True,True,0,0,0,0,0,0,0,0,0,0
why the hell does this stage keep failing,2025-10-30T03:10:42.908741Z,NA,why the hell does this stage keep failing,whi the hell doe thi stage keep fail,2025-10-29 23:10:42.908741-04:00,2,23,True,False,False,True,0,0,0,0,0,0,0,0,0,0
this pipeline is being a total pain in the ass today,2025-11-28T04:12:15.908741Z,NA,this pipeline is being a total pain in the ass today,thi pipelin is be a total pain in the ass today,2025-11-27 23:12:15.908741-05:00,3,23,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-11-17T11:57:27.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-17 06:57:27.908741-05:00,0,6,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync.,2025-11-22T00:33:38.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-11-21 19:33:38.908741-05:00,4,19,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Grafana alerts blew up with duplicate entries.,2025-11-23T20:24:10.908741Z,NA,grafana alerts blew up with duplicate entries,grafana alert blew up with duplic entri,2025-11-23 15:24:10.908741-05:00,6,15,False,False,True,True,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again.,2025-11-20T01:25:56.908741Z,NA,ci runner is stuck in queued state again,ci runner is stuck in queu state again,2025-11-19 20:25:56.908741-05:00,2,20,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Adding more debug output to the pipeline steps.,2025-10-31T22:28:36.908741Z,NA,adding more debug output to the pipeline steps,ad more debug output to the pipelin step,2025-10-31 18:28:36.908741-04:00,4,18,True,True,False,True,0,0,0,0,0,0,0,0,0,0
this pipeline is being a total pain in the ass today,2025-11-14T07:31:03.908741Z,NA,this pipeline is being a total pain in the ass today,thi pipelin is be a total pain in the ass today,2025-11-14 02:31:03.908741-05:00,4,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-28T17:12:39.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-28 12:12:39.908741-05:00,4,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Grafana alerts blew up with duplicate entries.,2025-11-30T06:50:55.908741Z,NA,grafana alerts blew up with duplicate entries,grafana alert blew up with duplic entri,2025-11-30 01:50:55.908741-05:00,6,1,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-11-03T10:10:09.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-11-03 05:10:09.908741-05:00,0,5,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-27T15:12:00.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-27 10:12:00.908741-05:00,3,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-11-29T21:19:53.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-11-29 16:19:53.908741-05:00,5,16,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-11-17T04:30:49.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-11-16 23:30:49.908741-05:00,6,23,True,False,True,True,0,0,0,0,0,0,0,0,0,0
someone pushed something stupid and now we're all paying for it,2025-12-03T20:26:51.908741Z,NA,someone pushed something stupid and now we re all paying for it,someon push someth stupid and now we re all pay for it,2025-12-03 15:26:51.908741-05:00,2,15,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Adding more debug output to the pipeline steps.,2025-11-28T08:25:16.908741Z,NA,adding more debug output to the pipeline steps,ad more debug output to the pipelin step,2025-11-28 03:25:16.908741-05:00,4,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0
I swear the build server wakes up choosing chaos,2025-11-08T20:50:04.908741Z,NA,i swear the build server wakes up choosing chaos,i swear the build server wake up choos chao,2025-11-08 15:50:04.908741-05:00,5,15,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-11-29T00:12:52.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-11-28 19:12:52.908741-05:00,4,19,True,True,False,True,0,0,0,0,0,0,0,0,0,0
this pipeline is being a total pain in the ass today,2025-11-23T12:16:08.908741Z,NA,this pipeline is being a total pain in the ass today,thi pipelin is be a total pain in the ass today,2025-11-23 07:16:08.908741-05:00,6,7,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-12-06T21:34:14.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-12-06 16:34:14.908741-05:00,5,16,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-12-02T02:14:57.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-12-01 21:14:57.908741-05:00,0,21,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Bootstrap process missing the credentials file.,2025-11-01T19:50:06.908741Z,NA,bootstrap process missing the credentials file,bootstrap process miss the credenti file,2025-11-01 15:50:06.908741-04:00,5,15,False,False,True,True,0,0,0,0,0,0,0,0,0,0
the whole system is throwing tantrums,2025-11-08T01:25:42.908741Z,NA,the whole system is throwing tantrums,the whole system is throw tantrum,2025-11-07 20:25:42.908741-05:00,4,20,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Reverting the last merge until we stabilize.,2025-12-02T14:07:34.908741Z,NA,reverting the last merge until we stabilize,revert the last merg until we stabil,2025-12-02 09:07:34.908741-05:00,1,9,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-10T06:53:43.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-10 01:53:43.908741-05:00,0,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync.,2025-11-04T20:52:17.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-11-04 15:52:17.908741-05:00,1,15,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-12-06T00:46:02.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-12-05 19:46:02.908741-05:00,4,19,True,True,False,True,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-10-24T08:37:54.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-10-24 04:37:54.908741-04:00,4,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-12-05T14:04:38.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-12-05 09:04:38.908741-05:00,4,9,False,False,False,False,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-11-26T18:15:41.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-11-26 13:15:41.908741-05:00,2,13,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-11-19T22:36:52.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-11-19 17:36:52.908741-05:00,2,17,True,False,False,True,0,0,0,0,0,0,0,0,0,0
the artifact repo is acting like a diva,2025-12-05T20:10:29.908741Z,NA,the artifact repo is acting like a diva,the artifact repo is act like a diva,2025-12-05 15:10:29.908741-05:00,4,15,False,True,False,True,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-12-07T14:24:31.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-12-07 09:24:31.908741-05:00,6,9,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-11-05T00:13:30.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-11-04 19:13:30.908741-05:00,1,19,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs.,2025-11-13T07:49:13.908741Z,NA,rerunning the job with verbose logs,rerun the job with verbos log,2025-11-13 02:49:13.908741-05:00,3,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
someone pushed something stupid and now we're all paying for it,2025-11-22T08:57:28.908741Z,NA,someone pushed something stupid and now we re all paying for it,someon push someth stupid and now we re all pay for it,2025-11-22 03:57:28.908741-05:00,5,3,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-11-10T16:27:36.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-11-10 11:27:36.908741-05:00,0,11,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-09T06:13:28.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-09 01:13:28.908741-05:00,6,1,False,False,True,True,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-12-03T06:26:26.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-12-03 01:26:26.908741-05:00,2,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
someone pushed something stupid and now we're all paying for it,2025-11-11T13:02:40.908741Z,NA,someone pushed something stupid and now we re all paying for it,someon push someth stupid and now we re all pay for it,2025-11-11 08:02:40.908741-05:00,1,8,False,False,False,False,0,0,0,0,0,0,0,0,0,0
the artifact repo is acting like a diva,2025-11-06T15:35:28.908741Z,NA,the artifact repo is acting like a diva,the artifact repo is act like a diva,2025-11-06 10:35:28.908741-05:00,3,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs.,2025-11-14T18:12:23.908741Z,NA,terraform plan is returning unexpected diffs,terraform plan is return unexpect diff,2025-11-14 13:12:23.908741-05:00,4,13,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Prometheus scrape interval went weird after the update.,2025-10-26T13:41:57.908741Z,NA,prometheus scrape interval went weird after the update,prometheu scrape interv went weird after the updat,2025-10-26 09:41:57.908741-04:00,6,9,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-21T23:10:20.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-21 18:10:20.908741-05:00,4,18,True,True,False,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-28T10:17:08.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-28 05:17:08.908741-05:00,4,5,False,False,False,False,0,0,0,0,0,0,0,0,0,0
this pipeline is being a total pain in the ass today,2025-11-07T15:59:38.908741Z,NA,this pipeline is being a total pain in the ass today,thi pipelin is be a total pain in the ass today,2025-11-07 10:59:38.908741-05:00,4,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-03T00:03:17.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-02 19:03:17.908741-05:00,6,19,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs.,2025-11-13T09:54:09.908741Z,NA,rerunning the job with verbose logs,rerun the job with verbos log,2025-11-13 04:54:09.908741-05:00,3,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Node pool autoscale didn't kick in during rollout.,2025-11-02T02:44:23.908741Z,NA,node pool autoscale didn t kick in during rollout,node pool autoscal did nt kick in dure rollout,2025-11-01 22:44:23.908741-04:00,5,22,True,False,True,True,0,0,0,0,0,0,0,0,0,0
why the hell does this stage keep failing,2025-11-15T02:46:10.908741Z,NA,why the hell does this stage keep failing,whi the hell doe thi stage keep fail,2025-11-14 21:46:10.908741-05:00,4,21,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-11-03T17:49:40.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-11-03 12:49:40.908741-05:00,0,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs.,2025-11-08T21:21:30.908741Z,NA,terraform plan is returning unexpected diffs,terraform plan is return unexpect diff,2025-11-08 16:21:30.908741-05:00,5,16,False,False,True,True,0,0,0,0,0,0,0,0,0,0
this YAML parser hates me personally,2025-11-02T02:33:07.908741Z,NA,this yaml parser hates me personally,thi yaml parser hate me person,2025-11-01 22:33:07.908741-04:00,5,22,True,False,True,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-10-25T23:43:55.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-10-25 19:43:55.908741-04:00,5,19,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-12-07T22:26:57.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-12-07 17:26:57.908741-05:00,6,17,True,False,True,True,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-11-24T16:57:01.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-11-24 11:57:01.908741-05:00,0,11,False,False,False,False,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again.,2025-10-27T01:00:08.908741Z,NA,ci runner is stuck in queued state again,ci runner is stuck in queu state again,2025-10-26 21:00:08.908741-04:00,6,21,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-11-26T01:01:55.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-11-25 20:01:55.908741-05:00,1,20,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs.,2025-10-28T13:53:45.908741Z,NA,terraform plan is returning unexpected diffs,terraform plan is return unexpect diff,2025-10-28 09:53:45.908741-04:00,1,9,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-10-31T08:31:42.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-10-31 04:31:42.908741-04:00,4,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
I swear the build server wakes up choosing chaos,2025-11-17T06:38:24.908741Z,NA,i swear the build server wakes up choosing chaos,i swear the build server wake up choos chao,2025-11-17 01:38:24.908741-05:00,0,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-11-11T16:15:59.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-11-11 11:15:59.908741-05:00,1,11,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-05T06:20:35.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-05 01:20:35.908741-05:00,2,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-11-08T15:16:11.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-11-08 10:16:11.908741-05:00,5,10,False,False,True,True,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-11-08T02:27:59.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-11-07 21:27:59.908741-05:00,4,21,True,True,False,True,0,0,0,0,0,0,0,0,0,0
We have inconsistent checksum results in the artifact store.,2025-12-05T16:53:15.908741Z,NA,we have inconsistent checksum results in the artifact store,we have inconsist checksum result in the artifact store,2025-12-05 11:53:15.908741-05:00,4,11,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-12-02T11:29:08.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-12-02 06:29:08.908741-05:00,1,6,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-12-04T06:18:26.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-12-04 01:18:26.908741-05:00,3,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Grafana alerts blew up with duplicate entries.,2025-11-19T23:53:33.908741Z,NA,grafana alerts blew up with duplicate entries,grafana alert blew up with duplic entri,2025-11-19 18:53:33.908741-05:00,2,18,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-30T01:11:45.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-29 20:11:45.908741-05:00,5,20,True,False,True,True,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync.,2025-12-06T04:35:50.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-12-05 23:35:50.908741-05:00,4,23,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-11-17T09:15:31.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-17 04:15:31.908741-05:00,0,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync.,2025-10-26T04:57:31.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-10-26 00:57:31.908741-04:00,6,0,False,False,True,True,0,0,0,0,0,0,0,0,0,0
someone pushed something stupid and now we're all paying for it,2025-10-29T14:46:00.908741Z,NA,someone pushed something stupid and now we re all paying for it,someon push someth stupid and now we re all pay for it,2025-10-29 10:46:00.908741-04:00,2,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs.,2025-11-09T21:09:23.908741Z,NA,terraform plan is returning unexpected diffs,terraform plan is return unexpect diff,2025-11-09 16:09:23.908741-05:00,6,16,False,False,True,True,0,0,0,0,0,0,0,0,0,0
"Switching runners to isolate the failure. Sorry, missed this earlier.",2025-11-24T00:18:47.908741Z,NA,switching runners to isolate the failure sorry missed this earlier,switch runner to isol the failur sorri miss thi earlier,2025-11-23 19:18:47.908741-05:00,6,19,True,False,True,True,0,0,0,0,0,0,0,0,1,0
Node pool autoscale didn't kick in during rollout.,2025-11-05T21:16:27.908741Z,NA,node pool autoscale didn t kick in during rollout,node pool autoscal did nt kick in dure rollout,2025-11-05 16:16:27.908741-05:00,2,16,False,False,False,False,0,0,0,0,0,0,0,0,0,0
I'm done pretending this cluster behaves normally,2025-11-11T23:37:01.908741Z,NA,i m done pretending this cluster behaves normally,i m done pretend thi cluster behav normal,2025-11-11 18:37:01.908741-05:00,1,18,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-11-06T18:39:04.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-11-06 13:39:04.908741-05:00,3,13,False,False,False,False,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again. — also this pipeline is being a total pain in the ass today,2025-12-01T23:05:19.908741Z,NA,ci runner is stuck in queued state again also this pipeline is being a total pain in the ass today,ci runner is stuck in queu state again also thi pipelin is be a total pain in the ass today,2025-12-01 18:05:19.908741-05:00,0,18,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-10-28T20:32:35.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-10-28 16:32:35.908741-04:00,1,16,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Reverting the last merge until we stabilize.,2025-11-23T10:06:36.908741Z,NA,reverting the last merge until we stabilize,revert the last merg until we stabil,2025-11-23 05:06:36.908741-05:00,6,5,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync.,2025-11-23T03:36:44.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-11-22 22:36:44.908741-05:00,5,22,True,False,True,True,0,0,0,0,0,0,0,0,0,0
"why the hell does this stage keep failing Sorry, missed this earlier.",2025-11-07T22:50:01.908741Z,NA,why the hell does this stage keep failing sorry missed this earlier,whi the hell doe thi stage keep fail sorri miss thi earlier,2025-11-07 17:50:01.908741-05:00,4,17,True,True,False,True,0,0,0,0,0,0,0,0,1,0
The Helm chart versioning is out of sync.,2025-11-19T09:22:51.908741Z,NA,the helm chart versioning is out of sync,the helm chart version is out of sync,2025-11-19 04:22:51.908741-05:00,2,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-11T07:09:28.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-11 02:09:28.908741-05:00,1,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure. — also someone pushed something stupid and now we're all paying for it,2025-10-24T23:38:00.908741Z,NA,switching runners to isolate the failure also someone pushed something stupid and now we re all paying for it,switch runner to isol the failur also someon push someth stupid and now we re all pay for it,2025-10-24 19:38:00.908741-04:00,4,19,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-11-05T02:37:18.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-11-04 21:37:18.908741-05:00,1,21,True,False,False,True,0,0,0,0,0,0,0,0,0,0
"Triggering a manual rebuild now. Apologies, pushed a broken config.",2025-11-01T10:20:46.908741Z,NA,triggering a manual rebuild now apologies pushed a broken config,trigger a manual rebuild now apolog push a broken config,2025-11-01 06:20:46.908741-04:00,5,6,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-11-15T00:35:17.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-11-14 19:35:17.908741-05:00,4,19,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-11-26T17:20:31.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-11-26 12:20:31.908741-05:00,2,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Node pool autoscale didn't kick in during rollout.,2025-11-26T01:09:17.908741Z,NA,node pool autoscale didn t kick in during rollout,node pool autoscal did nt kick in dure rollout,2025-11-25 20:09:17.908741-05:00,1,20,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-10-29T02:14:46.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-10-28 22:14:46.908741-04:00,1,22,True,False,False,True,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again.,2025-11-22T19:25:29.908741Z,NA,ci runner is stuck in queued state again,ci runner is stuck in queu state again,2025-11-22 14:25:29.908741-05:00,5,14,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-27T18:24:22.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-27 13:24:22.908741-05:00,3,13,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Node pool autoscale didn't kick in during rollout.,2025-11-06T00:14:55.908741Z,NA,node pool autoscale didn t kick in during rollout,node pool autoscal did nt kick in dure rollout,2025-11-05 19:14:55.908741-05:00,2,19,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-12-06T18:59:15.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-12-06 13:59:15.908741-05:00,5,13,False,False,True,True,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-10-30T20:50:32.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-10-30 16:50:32.908741-04:00,3,16,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-08T23:11:48.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-08 18:11:48.908741-05:00,5,18,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-11-27T12:52:15.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-11-27 07:52:15.908741-05:00,3,7,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-10-25T08:15:35.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-10-25 04:15:35.908741-04:00,5,4,False,False,True,True,0,0,0,0,0,0,0,0,0,0
this pipeline is being a total pain in the ass today,2025-10-31T22:48:43.908741Z,NA,this pipeline is being a total pain in the ass today,thi pipelin is be a total pain in the ass today,2025-10-31 18:48:43.908741-04:00,4,18,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Adding more debug output to the pipeline steps.,2025-11-21T17:45:41.908741Z,NA,adding more debug output to the pipeline steps,ad more debug output to the pipelin step,2025-11-21 12:45:41.908741-05:00,4,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-10-29T23:00:10.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-10-29 19:00:10.908741-04:00,2,19,True,False,False,True,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-11-03T17:32:50.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-11-03 12:32:50.908741-05:00,0,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
this YAML parser hates me personally,2025-11-23T02:19:06.908741Z,NA,this yaml parser hates me personally,thi yaml parser hate me person,2025-11-22 21:19:06.908741-05:00,5,21,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs.,2025-12-02T12:31:46.908741Z,NA,terraform plan is returning unexpected diffs,terraform plan is return unexpect diff,2025-12-02 07:31:46.908741-05:00,1,7,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Rerunning the job with verbose logs.,2025-11-30T23:18:48.908741Z,NA,rerunning the job with verbose logs,rerun the job with verbos log,2025-11-30 18:18:48.908741-05:00,6,18,True,False,True,True,0,0,0,0,0,0,0,0,0,0
